repo	unit	file	line	group	verdict	platform	why	snippet
paseo-plugins	lessons	lessons/server/lessons-state.ts	21	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return join(homedir(), ".pi", "agent", "lessons.md");
paseo-plugins	lessons	lessons/server/lessons-state.ts	64	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	: "no lessons file yet — the engine creates ~/.pi/agent/lessons.md when the first lesson is folded",
paseo-plugins	lessons	lessons/shared/rpc.ts	8	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* ~/.pi/agent/lessons.md, one lesson per line as `[YYYY-MM-DD][tag] text`.
paseo-plugins	lessons	lessons/server/lessons-state.ts	8	tilde-literal	note		tilde in display/log/test string only, never passed to fs	* Read-only view of ~/.pi/agent/lessons.md — the single source the engine
paseo-plugins	lessons	lessons/server/lessons-state.ts	64	tilde-literal	note		tilde in display/log/test string only, never passed to fs	: "no lessons file yet — the engine creates ~/.pi/agent/lessons.md when the first lesson is folded",
paseo-plugins	lessons	lessons/shared/rpc.ts	8	tilde-literal	note		tilde in display/log/test string only, never passed to fs	* ~/.pi/agent/lessons.md, one lesson per line as `[YYYY-MM-DD][tag] text`.
paseo-plugins	memory	memory/index.server.ts	12	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	bell.setPaseo(context.paseo);
paseo-plugins	memory	memory/server/doorbell-poke.ts	6	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* engine session socket under ~/.pi/agent/bridges/ so the owning engine
paseo-plugins	memory	memory/server/doorbell-poke.ts	34	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return join(process.env.HOME ?? homedir(), ".pi", "agent", "bridges");
paseo-plugins	memory	memory/server/doorbell-server.ts	5	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* ~/.paseo/plugin-data/bridges/. This server listens on
paseo-plugins	memory	memory/server/doorbell-server.ts	56	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	/** Bridges dir override (tests). Default ~/.paseo/plugin-data/bridges. */
paseo-plugins	memory	memory/server/doorbell-server.ts	86	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return deps.dir ?? join(homedir(), ".paseo", "plugin-data", "bridges");
paseo-plugins	memory	memory/server/doorbell-server.ts	234	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	server.on(name as never, (_event, context) => bell.setPaseo(context.paseo));
paseo-plugins	memory	memory/server/memory-state.test.ts	50	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	mkdirSync(join(tmp, ".pi", "agent"), { recursive: true });
paseo-plugins	memory	memory/server/memory-state.test.ts	51	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	writeFileSync(join(tmp, ".pi", "agent", "facts.md"), STORE);
paseo-plugins	memory	memory/server/memory-state.test.ts	60	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	join(tmp, ".pi", "agent", "facts-status.json"),
paseo-plugins	memory	memory/server/memory-state.test.ts	74	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const dir = join(tmp, ".pi", "agent", "facts-control");
paseo-plugins	memory	memory/server/memory-state.test.ts	87	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	expect(() => readdirSync(join(tmp, ".pi", "agent", "facts-control"))).toThrow();
paseo-plugins	memory	memory/server/memory-state.ts	27	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return join(homeDir(), ".pi", "agent", "facts.md");
paseo-plugins	memory	memory/server/memory-state.ts	31	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return join(homeDir(), ".pi", "agent", "facts-status.json");
paseo-plugins	memory	memory/server/memory-state.ts	35	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return join(homeDir(), ".pi", "agent", "facts-control");
paseo-plugins	memory	memory/server/memory-state.ts	122	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	note: filePresent ? null : "no facts store yet — the engine creates ~/.pi/agent/facts.md on first durable fact",
paseo-plugins	memory	memory/shared/rpc.ts	7	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* ~/.pi/agent/facts.md + the facts-status.json projection. This plugin only
paseo-plugins	memory	memory/server/doorbell-poke.ts	34	env-HOME	portable		HOME with os.homedir() fallback	return join(process.env.HOME ?? homedir(), ".pi", "agent", "bridges");
paseo-plugins	memory	memory/server/memory-state.test.ts	13	env-HOME	note		test-only HOME manipulation	savedHome = process.env.HOME;
paseo-plugins	memory	memory/server/memory-state.test.ts	14	env-HOME	note		test-only HOME manipulation	process.env.HOME = tmp;
paseo-plugins	memory	memory/server/memory-state.test.ts	19	env-HOME	note		test-only HOME manipulation	if (savedHome === undefined) delete process.env.HOME;
paseo-plugins	memory	memory/server/memory-state.test.ts	20	env-HOME	note		test-only HOME manipulation	else process.env.HOME = savedHome;
paseo-plugins	memory	memory/server/memory-state.ts	7	env-HOME	adapt	win	reads $HOME directly (unset on Windows)	return process.env.HOME && process.env.HOME.trim() ? process.env.HOME : homedir();
paseo-plugins	memory	memory/server/doorbell-poke.ts	6	tilde-literal	note		tilde in display/log/test string only, never passed to fs	* engine session socket under ~/.pi/agent/bridges/ so the owning engine
paseo-plugins	memory	memory/server/doorbell-server.ts	5	tilde-literal	note		tilde in display/log/test string only, never passed to fs	* ~/.paseo/plugin-data/bridges/. This server listens on
paseo-plugins	memory	memory/server/doorbell-server.ts	56	tilde-literal	note		tilde in display/log/test string only, never passed to fs	/** Bridges dir override (tests). Default ~/.paseo/plugin-data/bridges. */
paseo-plugins	memory	memory/server/memory-state.ts	122	tilde-literal	note		tilde in display/log/test string only, never passed to fs	note: filePresent ? null : "no facts store yet — the engine creates ~/.pi/agent/facts.md on first durable fact",
paseo-plugins	memory	memory/shared/rpc.ts	7	tilde-literal	note		tilde in display/log/test string only, never passed to fs	* ~/.pi/agent/facts.md + the facts-status.json projection. This plugin only
paseo-plugins	memory	memory/server/doorbell-poke.ts	22	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	import { createConnection } from "node:net";
paseo-plugins	memory	memory/server/doorbell-poke.ts	47	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	const sock = createConnection({ path: sockPath });
paseo-plugins	memory	memory/server/doorbell-poke.ts	97	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	const sockets = entries.filter((e) => e.endsWith(".sock")).slice(0, MAX_SOCKETS_PER_POKE);
paseo-plugins	memory	memory/server/doorbell-server.ts	6	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	* bridges/<pluginId>.sock and, for bell kinds it OWNS, appends an invisible
paseo-plugins	memory	memory/server/doorbell-server.ts	170	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	sockPath = join(dir, `${pluginId}.sock`);
paseo-plugins	om-panel	om-panel/server/om-state.ts	100	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const handle = context.paseo.workspaces.ref(input.workspaceId);
paseo-plugins	om-panel	om-panel/server/om-state.ts	113	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	agents = unwrapAgents((await context.paseo.agents.list()).entries);
paseo-plugins	om-panel	om-panel/server/session-filter.ts	49	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* Unwrap daemon `context.paseo.agents.list()` result: entries are
paseo-plugins	om-panel	om-panel/server/titles.ts	15	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return path.join(home, ".paseo", "plugin-data", "session-titles.json");
paseo-plugins	om-panel	om-panel/server/titles.ts	14	env-HOME	adapt	win	reads $HOME directly (unset on Windows)	const home = process.env.PI_HOME ?? process.env.HOME ?? "/home/coder";
paseo-plugins	om-panel	om-panel/server/titles.ts	14	hardcoded-home	adapt	win	fallback chain ends in literal /home/coder (fine wherever HOME set; wrong on Windows/new users)	const home = process.env.PI_HOME ?? process.env.HOME ?? "/home/coder";
paseo-plugins	om-status	om-status/client/pill.ts	28	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* enumerate agents via client.paseo.agents.list() and register one pill per
paseo-plugins	om-status	om-status/client/pill.ts	90	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	unsubscribers.set(key, client.paseo.agents.ref(agentId).subscribe(() => schedule(key)));
paseo-plugins	om-status	om-status/client/pill.ts	98	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const res = await client.paseo.agents.list();
paseo-plugins	om-status	om-status/client/pill.ts	118	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const unsub = client.paseo.agents.subscribe(() => void sync());
paseo-plugins	om-status	om-status/index.server.ts	13	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	bell.setPaseo(context.paseo);
paseo-plugins	om-status	om-status/server/doorbell-server.ts	5	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* ~/.paseo/plugin-data/bridges/. This server listens on
paseo-plugins	om-status	om-status/server/doorbell-server.ts	56	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	/** Bridges dir override (tests). Default ~/.paseo/plugin-data/bridges. */
paseo-plugins	om-status	om-status/server/doorbell-server.ts	86	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return deps.dir ?? join(homedir(), ".paseo", "plugin-data", "bridges");
paseo-plugins	om-status	om-status/server/doorbell-server.ts	234	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	server.on(name as never, (_event, context) => bell.setPaseo(context.paseo));
paseo-plugins	om-status	om-status/server/om-status.ts	65	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const handle = context.paseo.workspaces.ref(input.workspaceId);
paseo-plugins	om-status	om-status/server/om-status.ts	74	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	agents = unwrapAgents((await context.paseo.agents.list()).entries);
paseo-plugins	om-status	om-status/server/om-status.ts	137	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	// map beats the cache; both plugins write the same ~/.paseo/plugin-data/ file
paseo-plugins	om-status	om-status/server/session-filter.ts	49	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* Unwrap daemon `context.paseo.agents.list()` result: entries are
paseo-plugins	om-status	om-status/server/titles.ts	15	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return path.join(home, ".paseo", "plugin-data", "session-titles.json");
paseo-plugins	om-status	om-status/server/titles.ts	14	env-HOME	adapt	win	reads $HOME directly (unset on Windows)	const home = process.env.PI_HOME ?? process.env.HOME ?? "/home/coder";
paseo-plugins	om-status	om-status/server/titles.ts	14	hardcoded-home	adapt	win	fallback chain ends in literal /home/coder (fine wherever HOME set; wrong on Windows/new users)	const home = process.env.PI_HOME ?? process.env.HOME ?? "/home/coder";
paseo-plugins	om-status	om-status/server/doorbell-server.ts	5	tilde-literal	note		tilde in display/log/test string only, never passed to fs	* ~/.paseo/plugin-data/bridges/. This server listens on
paseo-plugins	om-status	om-status/server/doorbell-server.ts	56	tilde-literal	note		tilde in display/log/test string only, never passed to fs	/** Bridges dir override (tests). Default ~/.paseo/plugin-data/bridges. */
paseo-plugins	om-status	om-status/server/om-status.ts	137	tilde-literal	note		tilde in display/log/test string only, never passed to fs	// map beats the cache; both plugins write the same ~/.paseo/plugin-data/ file
paseo-plugins	om-status	om-status/server/doorbell-server.test.ts	7	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	import { createConnection } from "node:net";
paseo-plugins	om-status	om-status/server/doorbell-server.test.ts	121	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	expect(existsSync(join(dir, "om-panel.sock"))).toBe(false);
paseo-plugins	om-status	om-status/server/doorbell-server.test.ts	137	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	const sock = createConnection({ path: join(dir, "om-status.sock") });
paseo-plugins	om-status	om-status/server/doorbell-server.test.ts	149	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	expect(existsSync(join(dir, "om-status.sock"))).toBe(false);
paseo-plugins	om-status	om-status/server/doorbell-server.test.ts	160	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	const stale = join(dir, "om-status.sock");
paseo-plugins	om-status	om-status/server/doorbell-server.ts	6	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	* bridges/<pluginId>.sock and, for bell kinds it OWNS, appends an invisible
paseo-plugins	om-status	om-status/server/doorbell-server.ts	170	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	sockPath = join(dir, `${pluginId}.sock`);
paseo-plugins	paseo-subagents	paseo-subagents/server/mcp-server.ts	386	child-spawn	portable-caveat	win	child_process spawn — argv[0] resolution OS-dependent	const result = await spawn(ctx.caps, { role: args.role, task: args.task, name: typeof args.name === "string" ? args.name : undefined });
paseo-plugins	paseo-subagents	paseo-subagents/index.server.ts	111	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const agentsRoot = join(homedir(), ".paseo", "agents");
paseo-plugins	paseo-subagents	paseo-subagents/index.server.ts	354	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	capturePaseo(context.paseo);
paseo-plugins	paseo-subagents	paseo-subagents/index.server.ts	360	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const agentsRoot = join(homedir(), ".paseo", "agents");
paseo-plugins	paseo-subagents	paseo-subagents/index.server.ts	406	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	if (context?.paseo) capturePaseo(context.paseo as PaseoSendSlice, "turn_ended");
paseo-plugins	paseo-subagents	paseo-subagents/server/hooks.test.ts	33	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	test("child with parent env -> mcpServers.paseo replaced by scoped door", () => {
paseo-plugins	paseo-subagents	paseo-subagents/server/hooks.test.ts	36	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const door = (out.config.mcpServers ?? {}).paseo as { type: string; url: string };
paseo-plugins	paseo-subagents	paseo-subagents/server/hooks.test.ts	125	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const token = new URL((out.config.mcpServers!.paseo as { url: string }).url).searchParams.get("caller");
paseo-plugins	paseo-subagents	paseo-subagents/server/idle-archive.ts	12	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* and reads record files directly from disk (~/.paseo/agents/<ws>/<id>.json)
paseo-plugins	paseo-subagents	paseo-subagents/index.server.ts	181	fwdslash-build	portable		forward slash inside a URL — correct on every OS	const childDoorUrl = `http://127.0.0.1:${port}/mcp?caller=${token}`;
paseo-plugins	paseo-subagents	paseo-subagents/server/grant.ts	110	fwdslash-build	portable		forward slash inside a URL — correct on every OS	return `http://127.0.0.1:${port}/mcp?caller=${existing}`;
paseo-plugins	paseo-subagents	paseo-subagents/server/grant.ts	130	fwdslash-build	portable		forward slash inside a URL — correct on every OS	const url = `http://127.0.0.1:${port}/mcp?caller=${token}`;
paseo-plugins	paseo-subagents	paseo-subagents/server/hooks.ts	82	fwdslash-build	portable		forward slash inside a URL — correct on every OS	url: `http://127.0.0.1:${port}/mcp?caller=${token}`,
paseo-plugins	paseo-subagents	paseo-subagents/server/hooks.ts	119	fwdslash-build	portable		forward slash inside a URL — correct on every OS	url: `http://127.0.0.1:${port}/mcp?caller=${token}`,
paseo-plugins	paseo-subagents	paseo-subagents/server/mcp-server.test.ts	14	fwdslash-build	portable		forward slash inside a URL — correct on every OS	const base = `http://127.0.0.1:${runtime.port}/mcp`;
paseo-plugins	paseo-subagents	paseo-subagents/server/mcp-server.test.ts	135	fwdslash-build	portable		forward slash inside a URL — correct on every OS	const res = await fetch(`http://127.0.0.1:${port}/mcp?caller=${token}`, {
paseo-plugins	paseo-subagents	paseo-subagents/server/mcp-server.test.ts	247	fwdslash-build	portable		forward slash inside a URL — correct on every OS	const res = await fetch(`http://127.0.0.1:${rt2.port}/mcp?caller=${token}`, {
paseo-plugins	paseo-subagents	paseo-subagents/server/mcp-server.test.ts	266	fwdslash-build	portable		forward slash inside a URL — correct on every OS	const res = await fetch(`http://127.0.0.1:${rt3.port}/mcp?caller=${"c".repeat(48)}`, { method: "POST", body: "" });
paseo-plugins	paseo-subagents	paseo-subagents/server/mcp-server.test.ts	287	fwdslash-build	portable		forward slash inside a URL — correct on every OS	const res = await fetch(`http://127.0.0.1:${rt4.port}/mcp?caller=${"d".repeat(48)}`, { method: "POST", body: "" });
paseo-plugins	paseo-subagents	paseo-subagents/server/mcp-server.test.ts	313	fwdslash-build	portable		forward slash inside a URL — correct on every OS	const res = await fetch(`http://127.0.0.1:${rt5.port}/mcp?caller=${tok5}`, {
paseo-plugins	paseo-subagents	paseo-subagents/server/mcp-server.test.ts	346	fwdslash-build	portable		forward slash inside a URL — correct on every OS	const res = await fetch(`http://127.0.0.1:${rt6.port}/mcp?caller=${tok6}`, {
paseo-plugins	paseo-subagents	paseo-subagents/server/idle-archive.ts	12	tilde-literal	note		tilde in display/log/test string only, never passed to fs	* and reads record files directly from disk (~/.paseo/agents/<ws>/<id>.json)
paseo-plugins	plan	plan/server/doorbell-poke.ts	6	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* engine session socket under ~/.pi/agent/bridges/ so the owning engine
paseo-plugins	plan	plan/server/doorbell-poke.ts	34	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return join(process.env.HOME ?? homedir(), ".pi", "agent", "bridges");
paseo-plugins	plan	plan/server/plan-state.ts	16	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* ~/.pi/agent/plan-control/<sessionId>.status.json; this module only reads it and
paseo-plugins	plan	plan/server/plan-state.ts	46	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return path.join(process.env.HOME ?? os.homedir(), ".pi", "agent", "plan-control");
paseo-plugins	plan	plan/server/plan-state.ts	136	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	agents = unwrapAgents((await context.paseo.agents.list()).entries);
paseo-plugins	plan	plan/server/plan-state.ts	148	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const ws = await context.paseo.workspaces.list();
paseo-plugins	plan	plan/server/plan-state.ts	220	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return { ...EMPTY, note: "read failed — is ~/.pi/agent/plan-control readable?" };
paseo-plugins	plan	plan/server/session-filter.ts	49	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* Unwrap daemon `context.paseo.agents.list()` result: entries are
paseo-plugins	plan	plan/server/titles.ts	15	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return path.join(home, ".paseo", "plugin-data", "session-titles.json");
paseo-plugins	plan	plan/shared/rpc.ts	7	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* ~/.pi/agent/plan-control/<sessionId>.status.json (engine v1.4.46+; v1.4.62
paseo-plugins	plan	plan/server/doorbell-poke.ts	34	env-HOME	portable		HOME with os.homedir() fallback	return join(process.env.HOME ?? homedir(), ".pi", "agent", "bridges");
paseo-plugins	plan	plan/server/plan-state.ts	46	env-HOME	adapt	win	reads $HOME directly (unset on Windows)	return path.join(process.env.HOME ?? os.homedir(), ".pi", "agent", "plan-control");
paseo-plugins	plan	plan/server/titles.ts	14	env-HOME	adapt	win	reads $HOME directly (unset on Windows)	const home = process.env.PI_HOME ?? process.env.HOME ?? "/home/coder";
paseo-plugins	plan	plan/server/titles.ts	14	hardcoded-home	adapt	win	fallback chain ends in literal /home/coder (fine wherever HOME set; wrong on Windows/new users)	const home = process.env.PI_HOME ?? process.env.HOME ?? "/home/coder";
paseo-plugins	plan	plan/server/plan-state.ts	46	homedir-api	portable		os.homedir()-anchored — adapts to any user	return path.join(process.env.HOME ?? os.homedir(), ".pi", "agent", "plan-control");
paseo-plugins	plan	plan/server/doorbell-poke.ts	6	tilde-literal	note		tilde in display/log/test string only, never passed to fs	* engine session socket under ~/.pi/agent/bridges/ so the owning engine
paseo-plugins	plan	plan/server/plan-state.ts	16	tilde-literal	note		tilde in display/log/test string only, never passed to fs	* ~/.pi/agent/plan-control/<sessionId>.status.json; this module only reads it and
paseo-plugins	plan	plan/server/plan-state.ts	220	tilde-literal	note		tilde in display/log/test string only, never passed to fs	return { ...EMPTY, note: "read failed — is ~/.pi/agent/plan-control readable?" };
paseo-plugins	plan	plan/shared/rpc.ts	7	tilde-literal	note		tilde in display/log/test string only, never passed to fs	* ~/.pi/agent/plan-control/<sessionId>.status.json (engine v1.4.46+; v1.4.62
paseo-plugins	plan	plan/server/doorbell-poke.ts	22	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	import { createConnection } from "node:net";
paseo-plugins	plan	plan/server/doorbell-poke.ts	47	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	const sock = createConnection({ path: sockPath });
paseo-plugins	plan	plan/server/doorbell-poke.ts	97	unix-socket	adapt	win	AF_UNIX unix-socket (doorbell bridges) — Node/bun Windows AF_UNIX immature	const sockets = entries.filter((e) => e.endsWith(".sock")).slice(0, MAX_SOCKETS_PER_POKE);
paseo-plugins	snip	snip/client/pill.ts	8	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* enumerate agents via client.paseo.agents.list() and register one pill per
paseo-plugins	snip	snip/client/pill.ts	63	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const res = await client.paseo.agents.list();
paseo-plugins	snip	snip/client/pill.ts	83	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	const unsub = client.paseo.agents.subscribe(() => void sync());
paseo-plugins	snip	snip/index.server.ts	12	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	bell.setPaseo(context.paseo);
paseo-plugins	snip	snip/index.server.ts	20	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return { ok: false, sentAt: "", note: "write failed — is ~/.pi/agent/snip-control writable?" };
paseo-plugins	snip	snip/server/doorbell-poke.ts	6	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* engine session socket under ~/.pi/agent/bridges/ so the owning engine
paseo-plugins	snip	snip/server/doorbell-poke.ts	34	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return join(process.env.HOME ?? homedir(), ".pi", "agent", "bridges");
paseo-plugins	snip	snip/server/doorbell-server.ts	5	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* ~/.paseo/plugin-data/bridges/. This server listens on
paseo-plugins	snip	snip/server/doorbell-server.ts	56	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	/** Bridges dir override (tests). Default ~/.paseo/plugin-data/bridges. */
paseo-plugins	snip	snip/server/doorbell-server.ts	86	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return deps.dir ?? join(homedir(), ".paseo", "plugin-data", "bridges");
paseo-plugins	snip	snip/server/doorbell-server.ts	234	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	server.on(name as never, (_event, context) => bell.setPaseo(context.paseo));
paseo-plugins	snip	snip/server/session-filter.ts	49	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	* Unwrap daemon `context.paseo.agents.list()` result: entries are
paseo-plugins	snip	snip/server/snip-state.ts	43	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return path.join(os.homedir(), ".pi", "agent", "snip-control");
paseo-plugins	snip	snip/server/snip-state.ts	47	dotpi-path	portable		dot-path anchored at resolved home (see env-HOME row for the anchor quality)	return path.join(os.homedir(), ".pi", "agent", "extensions", "snip", "snippets");
